Model,Accuracy,Precision Yes,Precision No,Precision Weighted,Recall Yes,Recall No,Recall Weighted,F1 Yes,F1 No,F1 Weighted,Time
rfc_balanced,0.6751370204285002,0.24478442280945759,0.9153726708074534,0.8201471348436125,0.6175438596491228,0.6846689895470384,0.6751370204285003,0.350597609561753,0.7833887043189368,0.7219310750185893,2.820549249649048
gbc,0.8579970104633782,0.5,0.8608739326971371,0.8096287554083059,0.028070175438596492,0.9953542392566783,0.8579970104633782,0.053156146179401995,0.9232426609210881,0.7996877746722687,7.028902053833008
gbc_balanced,0.8579970104633782,0.5,0.8608739326971371,0.8096287554083059,0.028070175438596492,0.9953542392566783,0.8579970104633782,0.053156146179401995,0.9232426609210881,0.7996877746722687,6.432095289230347
rfc,0.8589935226706528,1.0,0.8588528678304239,0.8788961825630244,0.007017543859649123,1.0,0.8589935226706528,0.013937282229965157,0.9240676147035148,0.7948263866243113,3.0056118965148926
lr,0.8574987543597409,0.3333333333333333,0.8582834331337326,0.783738949604528,0.0035087719298245615,0.9988385598141696,0.8574987543597409,0.006944444444444445,0.9232420826623725,0.7931250787300808,6.975349187850952
lr_balanced,0.8574987543597409,0.3333333333333333,0.8582834331337326,0.783738949604528,0.0035087719298245615,0.9988385598141696,0.8574987543597409,0.006944444444444445,0.9232420826623725,0.7931250787300808,2.920876979827881
